step,reward
0,53.03004493064341
1,25.0
2,22.0
3,23.0
4,41.0
5,39.0
6,39.0
7,28.0
8,31.0
9,22.0
10,32.0
11,26.0
12,38.0
13,31.0
14,42.0
15,33.0
16,35.0
17,32.0
18,28.0
19,48.0
20,39.0
21,27.0
22,27.0
23,25.0
24,28.0
25,37.0
26,44.0
27,39.0
28,43.0
29,39.0
30,30.0
31,28.0
32,29.0
33,26.0
34,34.0
35,31.0
36,40.0
37,38.0
38,30.0
39,42.0
40,28.0
41,19.0
42,14.0
43,30.0
44,32.0
45,28.0
46,26.0
47,26.0
48,27.0
49,35.0
50,17.0
51,33.0
52,37.0
53,15.0
54,34.0
55,45.0
56,24.0
57,29.0
58,44.0
59,25.0
60,38.0
61,28.0
62,30.0
63,35.0
64,20.0
65,32.0
66,28.0
67,28.0
68,32.0
69,26.0
70,31.0
71,21.0
72,26.0
73,19.0
74,28.0
75,27.0
76,32.0
77,35.0
78,23.0
79,31.0
80,33.0
81,28.0
82,30.0
83,36.0
84,32.0
85,30.0
86,38.0
87,40.0
88,24.0
89,23.0
90,31.0
91,36.0
92,28.0
93,43.0
94,44.0
95,43.0
96,41.0
97,40.0
98,28.0
99,19.0
100,36.0
101,33.0
102,30.0
103,18.0
104,29.0
105,23.0
106,19.0
107,23.0
108,30.0
109,40.0
110,35.0
111,39.0
112,45.0
113,34.0
114,34.0
115,29.0
116,38.0
117,18.0
118,25.0
119,32.0
120,28.0
121,29.0
122,30.0
123,22.0
124,28.0
125,29.0
126,25.0
127,26.0
128,27.0
129,32.0
130,24.0
131,33.0
132,24.0
133,29.0
134,42.0
135,37.0
136,28.0
137,34.0
138,30.0
139,28.0
140,29.0
141,27.0
142,29.0
143,38.0
144,43.0
145,33.0
146,46.0
147,23.0
148,21.0
149,33.0
150,29.0
151,20.0
152,31.0
153,28.0
154,33.0
155,23.0
156,37.0
157,28.0
158,27.0
159,20.0
160,25.0
161,27.0
162,30.0
163,27.0
164,30.0
165,46.0
166,33.0
167,29.0
168,32.0
169,39.0
170,39.0
171,29.0
172,26.0
173,23.0
174,26.0
175,30.0
176,40.0
177,36.0
178,33.0
179,38.0
180,24.0
181,40.0
182,23.0
183,20.0
184,33.0
185,24.0
186,26.0
187,24.0
188,36.0
189,34.0
190,30.0
191,33.0
192,37.0
193,28.0
194,27.0
195,26.0
196,25.0
197,18.0
198,30.0
199,35.0
200,20.0
201,30.0
202,33.0
203,33.0
204,38.0
205,35.0
206,39.0
207,44.0
208,38.0
209,24.0
210,22.0
211,33.0
212,40.0
213,34.0
214,35.0
215,25.0
216,47.0
217,25.0
218,40.0
