step,reward
0,35.0
1,33.0
2,34.0
3,31.0
4,43.0
5,37.0
6,44.0
7,31.0
8,20.0
9,40.0
10,24.0
11,22.0
12,22.0
13,37.0
14,33.0
15,28.0
16,30.0
17,22.0
18,29.0
19,23.0
20,29.0
21,31.0
22,34.0
23,37.0
24,39.0
25,39.0
26,40.0
27,30.0
28,20.0
29,29.0
30,33.0
31,30.0
32,38.0
33,34.0
34,34.0
35,35.0
36,21.0
37,38.0
38,20.0
39,25.0
40,36.0
41,22.0
42,37.0
43,26.0
44,30.0
45,21.0
46,18.0
47,32.0
48,18.0
49,26.0
50,37.0
51,20.0
52,29.0
53,35.0
54,31.0
55,32.0
56,21.0
57,31.0
58,37.0
59,37.0
60,33.0
61,28.0
62,29.0
63,34.0
64,32.0
65,46.0
66,31.0
67,31.0
68,33.0
69,34.0
70,34.0
71,32.0
72,33.0
73,27.0
74,26.0
75,30.0
76,33.0
77,43.0
78,28.0
79,22.0
80,36.0
81,34.0
82,41.0
83,41.0
84,29.0
85,36.0
86,35.0
87,29.0
88,25.0
89,40.0
90,35.0
91,37.0
92,30.0
93,30.0
94,38.0
95,45.0
96,33.0
97,33.0
98,22.0
99,36.0
100,30.0
101,30.0
102,41.0
103,34.0
104,36.0
105,40.0
106,44.0
107,34.0
108,35.0
109,19.0
110,32.0
111,29.0
112,24.0
113,21.0
114,28.0
115,33.0
116,37.0
117,24.0
118,30.0
119,23.0
120,47.0
121,30.0
122,34.0
123,30.0
124,26.0
125,22.0
126,21.0
127,26.0
128,27.0
129,45.0
130,30.0
131,36.0
132,38.0
133,24.0
134,20.0
135,33.0
136,19.0
137,37.0
138,22.0
139,35.0
140,37.0
141,38.0
142,36.0
143,27.0
144,18.0
145,35.0
146,40.0
147,38.0
148,29.0
149,41.0
150,22.0
151,34.0
152,38.0
153,24.0
154,21.0
155,31.0
156,20.0
157,29.0
158,39.0
159,24.0
160,35.0
161,42.0
162,31.0
163,29.0
164,26.0
165,34.0
166,34.0
167,44.0
168,45.0
169,22.0
170,35.0
171,31.0
172,26.0
173,40.0
174,31.0
175,34.0
176,40.0
177,38.0
178,29.0
179,27.0
180,30.0
181,28.0
182,27.0
183,25.0
184,37.0
185,38.0
186,28.0
187,36.0
188,32.0
189,27.0
190,29.0
191,24.0
192,43.0
193,42.0
194,40.0
195,33.0
196,31.0
197,34.0
198,37.0
199,27.0
200,34.0
201,38.0
202,26.0
203,24.0
204,21.0
205,38.0
206,40.0
207,35.0
208,29.0
209,27.0
210,39.0
211,34.0
212,22.0
213,33.0
214,33.0
215,35.0
216,25.0
217,34.0
218,22.0
219,40.0
220,41.0
221,39.0
222,26.0
223,32.0
224,43.0
225,36.0
226,25.0
227,29.0
228,34.0
229,25.0
230,24.0
231,36.0
232,42.0
233,32.0
234,25.0
235,34.0
236,25.0
237,27.0
238,31.0
239,39.0
240,26.0
241,27.0
242,34.0
243,32.0
244,34.0
245,31.0
246,34.0
247,18.0
248,31.0
249,29.0
250,47.0
251,33.0
252,38.0
253,25.0
254,37.0
255,20.0
256,26.0
257,23.0
258,34.0
259,32.0
260,34.0
261,41.0
262,22.0
263,26.0
264,32.0
265,29.0
266,32.0
267,24.0
268,29.0
269,29.0
270,36.0
271,24.0
272,29.0
273,15.0
274,27.0
275,26.0
276,32.0
277,47.0
278,26.0
279,34.0
280,36.0
281,33.0
282,21.0
283,30.0
284,30.0
285,36.0
286,29.0
287,28.0
288,27.0
289,29.0
290,29.0
291,35.0
292,44.0
293,28.0
294,36.0
295,34.0
296,19.0
297,31.0
298,43.0
299,26.0
300,32.0
301,30.0
302,41.0
303,39.0
304,43.0
305,25.0
306,39.0
307,37.0
308,34.0
309,34.0
310,27.0
311,31.0
312,38.0
313,23.0
314,28.0
315,38.0
316,32.0
317,31.0
318,25.0
319,20.0
320,31.0
321,39.0
322,30.0
323,25.0
324,31.0
325,34.0
326,39.0
327,19.0
328,24.0
329,40.0
330,29.0
331,33.0
332,39.0
333,40.0
334,32.0
335,29.0
336,27.0
337,32.0
338,27.0
339,23.0
340,14.0
341,29.0
342,30.0
343,35.0
344,25.0
345,38.0
346,25.0
347,30.0
348,26.0
349,28.0
350,24.0
351,26.0
352,33.0
353,28.0
354,21.0
355,37.0
356,36.0
357,39.0
358,36.0
359,29.0
360,31.0
361,37.0
362,33.0
363,38.0
364,26.0
365,35.0
366,25.0
367,31.0
368,42.0
369,44.0
370,36.0
371,26.0
372,21.0
373,28.0
374,24.0
375,27.0
376,35.0
377,35.0
378,41.0
379,37.0
380,29.0
381,21.0
382,36.0
383,30.0
384,24.0
385,41.0
386,34.0
387,25.0
388,31.0
389,25.0
390,39.0
391,32.0
392,29.0
393,26.0
394,39.0
395,29.0
396,32.0
397,37.0
398,30.0
399,29.0
400,28.0
401,38.0
402,27.0
403,26.0
404,26.0
405,25.0
406,32.0
407,20.0
408,33.0
409,39.0
410,17.0
411,30.0
412,39.0
413,42.0
414,23.0
415,32.0
416,30.0
417,34.0
418,30.0
419,29.0
420,33.0
421,26.0
422,33.0
423,35.0
424,27.0
425,28.0
426,41.0
427,36.0
428,33.0
429,33.0
430,28.0
431,36.0
432,29.0
433,43.0
434,37.0
435,32.0
436,30.0
437,19.0
438,24.0
439,30.0
440,30.0
441,33.0
442,36.0
443,30.0
444,33.0
445,42.0
446,30.0
447,22.0
448,30.0
449,34.0
450,30.0
451,26.0
452,32.0
453,27.0
454,30.0
455,30.0
456,36.0
457,33.0
458,39.0
459,26.0
460,34.0
461,30.0
462,22.0
463,31.0
464,25.0
465,33.0
466,39.0
467,39.0
468,37.0
469,22.0
470,22.0
471,33.0
472,23.0
473,26.0
474,23.0
475,31.0
476,40.0
477,38.0
478,29.0
479,29.0
480,35.0
481,32.0
482,39.0
483,42.0
484,28.0
485,36.0
486,25.0
487,37.0
488,34.0
489,35.0
490,33.0
491,23.0
492,22.0
493,25.0
494,26.0
495,28.0
496,28.0
497,27.0
498,23.0
499,28.0
500,40.0
501,42.0
502,29.0
503,25.0
504,25.0
505,33.0
506,34.0
507,27.0
508,32.0
509,39.0
510,33.0
511,27.0
512,26.0
513,34.0
514,31.0
515,30.0
516,28.0
517,28.0
518,26.0
519,26.0
520,31.0
521,30.0
522,20.0
523,25.0
524,18.0
525,18.0
526,33.0
527,33.0
528,24.0
529,36.0
530,34.0
531,25.0
532,25.0
533,33.0
534,18.0
535,28.0
536,35.0
537,27.0
538,29.0
539,32.0
540,32.0
541,29.0
542,32.0
543,24.0
544,23.0
545,33.0
546,39.0
547,37.0
548,40.0
549,26.0
550,15.0
551,29.0
552,31.0
553,29.0
554,30.0
555,34.0
556,36.0
557,37.0
558,33.0
559,34.0
560,43.0
561,29.0
562,29.0
563,22.0
564,30.0
565,30.0
566,36.0
567,40.0
568,28.0
569,36.0
570,35.0
571,43.0
572,35.0
573,43.0
574,37.0
575,47.0
576,43.0
577,37.0
578,36.0
579,31.0
580,35.0
581,25.0
582,32.0
583,38.0
584,27.0
585,25.0
586,35.0
587,30.0
588,25.0
589,28.0
590,30.0
591,25.0
592,34.0
593,36.0
594,18.0
595,33.0
596,41.0
597,26.0
598,29.0
599,23.0
600,17.0
601,28.0
602,27.0
603,26.0
604,25.0
605,35.0
606,24.0
607,20.0
608,32.0
609,23.0
610,35.0
611,29.0
612,28.0
613,24.0
614,37.0
615,39.0
616,43.0
617,48.0
618,39.0
619,27.0
620,23.0
621,30.0
622,15.0
623,30.0
624,27.0
625,36.0
626,39.0
627,40.0
628,44.0
629,24.0
630,33.0
631,48.0
632,20.0
633,29.0
634,21.0
635,35.0
636,43.0
637,37.0
638,38.0
639,35.0
640,25.0
641,42.0
642,36.0
643,29.0
644,37.0
645,41.0
646,37.0
647,30.0
648,25.0
649,35.0
650,27.0
651,30.0
652,34.0
653,35.0
654,39.0
655,30.0
656,34.0
657,29.0
658,33.0
659,40.0
660,42.0
661,21.0
662,30.0
663,27.0
664,28.0
665,20.0
666,25.0
667,28.0
668,35.0
669,34.0
670,32.0
671,35.0
672,21.0
673,24.0
674,28.0
675,33.0
676,28.0
677,25.0
678,29.0
679,23.0
680,30.0
681,26.0
682,28.0
683,39.0
684,30.0
685,28.0
686,20.0
687,36.0
688,42.0
689,30.0
690,30.0
691,42.0
692,36.0
693,32.0
694,30.0
695,35.0
696,30.0
697,25.0
698,28.0
699,36.0
700,38.0
701,29.0
702,19.0
703,33.0
704,38.0
705,24.0
706,31.0
707,31.0
708,38.0
709,28.0
710,37.0
711,22.0
712,38.0
713,21.0
714,29.0
715,31.0
716,32.0
717,17.0
718,18.0
719,26.0
720,36.0
721,33.0
722,37.0
723,34.0
724,17.0
725,30.0
726,25.0
727,29.0
728,33.0
729,15.0
730,42.0
731,28.0
732,37.0
733,41.0
734,39.0
735,29.0
736,34.0
737,28.0
738,38.0
739,22.0
740,24.0
741,29.0
742,22.0
743,33.0
744,28.0
745,27.0
746,28.0
747,26.0
748,30.0
749,31.0
750,24.0
751,26.0
752,29.0
753,35.0
754,30.0
755,27.0
756,23.0
757,38.0
758,47.0
759,28.0
760,28.0
761,29.0
762,34.0
763,27.0
764,33.0
765,23.0
766,38.0
767,47.0
768,34.0
769,17.0
770,25.0
771,35.0
772,43.0
773,36.0
774,38.0
775,35.0
776,40.0
777,31.0
778,21.0
779,30.0
780,38.0
781,30.0
782,27.0
783,25.0
784,34.0
785,23.0
786,37.0
787,27.0
788,24.0
789,27.0
790,29.0
791,16.0
792,20.0
793,29.0
794,29.0
795,35.0
796,33.0
797,27.0
798,27.0
799,33.0
800,28.0
801,31.0
802,32.0
803,20.0
804,32.0
805,29.0
806,28.0
807,26.0
808,34.0
809,31.0
810,33.0
811,30.0
812,40.0
813,29.0
814,22.0
815,27.0
816,30.0
817,23.0
818,29.0
819,46.0
820,40.0
821,22.0
822,35.0
823,31.0
824,26.0
825,26.0
826,30.0
827,25.0
828,34.0
829,35.0
830,30.0
831,33.0
832,34.0
833,35.0
834,30.0
835,23.0
836,31.0
837,45.0
838,41.0
839,31.0
840,33.0
841,41.0
842,48.0
843,23.0
844,28.0
845,31.0
846,39.0
847,31.0
848,24.0
849,38.0
850,19.0
851,39.0
852,27.0
853,25.0
854,27.0
855,28.0
856,25.0
857,26.0
858,20.0
859,39.0
860,23.0
861,24.0
862,39.0
863,40.0
864,30.0
865,30.0
866,34.0
867,26.0
868,27.0
869,23.0
870,31.0
871,28.0
872,24.0
873,32.0
874,23.0
875,43.0
876,30.0
877,34.0
878,25.0
879,25.0
880,25.0
881,43.0
882,43.0
883,39.0
884,47.0
885,17.0
886,29.0
887,40.0
888,23.0
889,37.0
890,36.0
891,34.0
892,35.0
893,24.0
894,20.0
895,28.0
896,35.0
897,30.0
898,22.0
899,31.0
900,32.0
901,40.0
902,43.0
903,32.0
904,37.0
905,33.0
906,31.0
907,41.0
908,30.0
909,40.0
910,40.0
911,29.0
912,26.0
913,23.0
914,18.0
915,24.0
916,31.0
917,28.0
918,28.0
919,27.0
920,28.0
921,22.0
922,22.0
923,39.0
924,26.0
925,26.0
926,23.0
927,28.0
928,37.0
929,36.0
930,27.0
931,34.0
932,30.0
933,27.0
934,31.0
935,30.0
936,33.0
937,22.0
938,34.0
939,33.0
940,37.0
941,37.0
942,25.0
943,31.0
944,37.0
945,43.0
946,37.0
947,34.0
948,26.0
949,32.0
950,25.0
951,30.0
952,38.0
953,30.0
954,23.0
955,28.0
956,36.0
957,44.0
958,40.0
959,22.0
960,29.0
961,28.0
962,34.0
963,24.0
964,34.0
965,28.0
966,39.0
967,29.0
968,28.0
969,33.0
970,26.0
971,28.0
972,31.0
973,38.0
974,29.0
975,40.0
976,38.0
977,29.0
978,24.0
979,31.0
980,25.0
981,37.0
982,35.0
983,38.0
984,30.0
985,21.0
986,31.0
987,29.0
988,31.0
989,29.0
990,43.0
991,27.0
992,19.0
993,30.0
994,43.0
995,25.0
996,15.0
997,28.0
998,31.0
999,42.0
1000,31.0
1001,21.0
1002,26.0
1003,26.0
1004,39.0
1005,40.0
1006,31.0
1007,26.0
1008,29.0
1009,21.0
1010,27.0
1011,24.0
1012,26.0
1013,28.0
1014,26.0
1015,37.0
1016,48.0
1017,34.0
1018,31.0
1019,35.0
1020,41.0
1021,41.0
1022,42.0
1023,27.0
1024,32.0
1025,29.0
1026,37.0
1027,39.0
1028,26.0
1029,31.0
1030,33.0
1031,36.0
1032,34.0
1033,38.0
1034,38.0
1035,33.0
1036,32.0
1037,29.0
1038,23.0
1039,37.0
1040,33.0
1041,29.0
1042,32.0
1043,32.0
1044,29.0
1045,43.0
1046,32.0
1047,31.0
1048,29.0
1049,33.0
1050,32.0
1051,27.0
1052,30.0
1053,30.0
1054,27.0
1055,24.0
1056,32.0
1057,28.0
1058,27.0
1059,28.0
1060,39.0
1061,32.0
1062,32.0
1063,22.0
1064,21.0
1065,21.0
1066,31.0
1067,35.0
1068,36.0
1069,26.0
1070,35.0
1071,34.0
1072,42.0
1073,37.0
1074,24.0
1075,35.0
1076,32.0
1077,35.0
1078,37.0
1079,26.0
1080,26.0
1081,32.0
1082,30.0
1083,25.0
1084,28.0
1085,25.0
1086,25.0
1087,27.0
1088,24.0
1089,32.0
1090,40.0
1091,25.0
1092,28.0
1093,33.0
1094,16.0
1095,29.0
1096,30.0
1097,28.0
1098,39.0
1099,37.0
1100,29.0
1101,33.0
1102,45.0
1103,20.0
1104,31.0
1105,32.0
1106,37.0
1107,31.0
1108,27.0
1109,36.0
1110,24.0
1111,28.0
1112,27.0
1113,26.0
1114,32.0
1115,26.0
1116,21.0
1117,37.0
1118,30.0
1119,19.0
1120,22.0
1121,25.0
1122,28.0
1123,25.0
1124,28.0
1125,13.0
1126,24.0
1127,25.0
1128,29.0
1129,31.0
1130,27.0
1131,36.0
1132,43.0
1133,31.0
1134,25.0
1135,28.0
1136,31.0
1137,28.0
1138,32.0
1139,25.0
1140,25.0
1141,19.0
1142,32.0
1143,38.0
1144,39.0
1145,32.0
1146,32.0
1147,29.0
1148,40.0
1149,31.0
1150,29.0
1151,28.0
1152,25.0
1153,25.0
1154,33.0
1155,44.0
1156,32.0
1157,20.0
1158,33.0
1159,38.0
1160,42.0
1161,31.0
1162,26.0
1163,18.0
1164,33.0
1165,27.0
1166,36.0
1167,26.0
1168,31.0
1169,43.0
1170,30.0
1171,12.0
1172,24.0
1173,25.0
1174,31.0
1175,20.0
1176,33.0
1177,29.0
1178,31.0
1179,42.0
1180,43.0
1181,24.0
1182,35.0
1183,24.0
1184,25.0
1185,26.0
1186,37.0
1187,37.0
1188,39.0
1189,39.0
1190,30.0
1191,23.0
1192,27.0
1193,34.0
1194,26.0
1195,25.0
1196,40.0
1197,40.0
1198,37.0
1199,42.0
1200,30.0
1201,45.0
1202,44.0
1203,46.0
1204,40.0
1205,28.0
1206,28.0
1207,30.0
1208,30.0
1209,38.0
1210,34.0
1211,27.0
1212,35.0
1213,31.0
1214,28.0
1215,35.0
1216,42.0
1217,32.0
1218,38.0
1219,43.0
1220,43.0
1221,41.0
1222,30.0
1223,31.0
1224,25.0
1225,24.0
1226,32.0
1227,17.0
1228,33.0
1229,25.0
1230,32.0
1231,24.0
1232,30.0
1233,31.0
1234,33.0
1235,26.0
1236,42.0
1237,38.0
1238,36.0
1239,22.0
1240,29.0
1241,32.0
1242,34.0
1243,31.0
1244,36.0
1245,22.0
1246,30.0
1247,32.0
1248,29.0
1249,27.0
1250,20.0
1251,39.0
1252,21.0
1253,30.0
1254,29.0
1255,20.0
1256,29.0
1257,35.0
1258,29.0
1259,36.0
1260,20.0
1261,32.0
1262,40.0
1263,36.0
1264,29.0
1265,28.0
1266,31.0
1267,30.0
1268,26.0
1269,30.0
1270,28.0
1271,32.0
1272,24.0
1273,35.0
1274,20.0
1275,33.0
